PASS: JSP737.nat_card_le_interval: ['Classical.choice', 'Quot.sound', 'propext']
PASS: JSP737.factor_sum_bounds: ['Classical.choice', 'Quot.sound', 'propext']
PASS: JSP737.upper_factor_unique: ['Classical.choice', 'Quot.sound', 'propext']
PASS: JSP737.divisor_product: ['Classical.choice', 'Quot.sound', 'propext']
PASS: JSP737.factorSum_mem_bounds: ['Classical.choice', 'Quot.sound', 'propext']
PASS: JSP737.factorSum_injective: ['Classical.choice', 'Quot.sound', 'propext']
PASS: JSP737.nearDivisors_card_le: ['Classical.choice', 'Quot.sound', 'propext']
PASS: JSP737.fourth_root_eq_rpow: ['Classical.choice', 'Quot.sound', 'propext']
PASS: JSP737.nearDivisors_eq_rpow: ['Classical.choice', 'Quot.sound', 'propext']
PASS: JSP737.rosenfeld_bound_pointwise: ['Classical.choice', 'Quot.sound', 'propext']
PASS: JSP737.erdos_rosenfeld_bound: ['Classical.choice', 'Quot.sound', 'propext']
PASS: JSP737Checks.paper_statement: ['Classical.choice', 'Quot.sound', 'propext']
PASS: JSP737Checks.paper_pointwise: ['Classical.choice', 'Quot.sound', 'propext']
PASS: JSP737Checks.zero_divisors: ['Classical.choice', 'Quot.sound', 'propext']
PASS: JSP737Checks.one_zero_width: ['Classical.choice', 'Quot.sound', 'propext']
PASS: JSP737Checks.square_endpoint: ['Classical.choice', 'Quot.sound', 'propext']
PASS: JSP737Checks.zero_width_card: ['Classical.choice', 'Quot.sound', 'propext']
PASS: 17 complete reports use only accepted foundations
