'JSP737.nat_card_le_interval' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP737.factor_sum_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP737.upper_factor_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP737.divisor_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP737.factorSum_mem_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP737.factorSum_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP737.nearDivisors_card_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP737.fourth_root_eq_rpow' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP737.nearDivisors_eq_rpow' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP737.rosenfeld_bound_pointwise' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP737.erdos_rosenfeld_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP737Checks.paper_statement' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP737Checks.paper_pointwise' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP737Checks.zero_divisors' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP737Checks.one_zero_width' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP737Checks.square_endpoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP737Checks.zero_width_card' depends on axioms: [propext, Classical.choice, Quot.sound]
